Channel,Red,Green,Blue
b,5,76,108
b,7,78,110
b,43,97,123
b,27,79,106
b,21,79,107
b,21,79,107
b,25,81,109
b,17,73,101
b,28,79,109
b,38,89,119
b,41,94,123
b,46,99,128
b,66,145,190
b,58,154,198
b,59,155,199
b,56,155,198
b,57,156,199
b,65,153,197
b,60,148,192
b,68,176,234
b,57,165,223
b,25,164,223
b,25,164,223
b,17,171,227
b,19,173,229
b,15,174,228
b,13,172,226
b,17,164,220
b,20,167,223
b,44,158,209
b,48,162,213
b,85,154,196
b,37,150,204
b,50,163,217
b,16,166,230
b,20,170,234
b,9,181,240
b,10,182,241
b,7,187,241
b,11,191,245
b,10,195,247
b,10,195,247
b,7,192,240
b,3,188,236
b,7,178,228
b,7,178,228
b,37,165,223
b,41,169,227
b,86,159,206
b,52,147,198
b,16,170,240
b,13,167,237
b,3,178,245
b,7,182,249
b,4,187,247
b,5,188,248
b,3,197,246
b,8,202,251
b,4,207,249
b,6,209,251
b,6,209,251
